Filename,Barking,Howling,Crying,COSmoke,GlassBreaking,Other
public_00001,0.00011610002547968179,0.4100116491317749,0.01716592349112034,0.009094716049730778,0.00956842489540577,0.554043173789978
public_00002,7.374766255452414e-07,0.001111403340473771,9.778954699868336e-05,8.599036846135277e-06,1.5720265764684882e-06,0.9987799525260925
public_00003,0.8637924194335938,0.0315416119992733,0.0006404200103133917,0.06558790802955627,0.02168402262032032,0.016753625124692917
public_00004,0.02286999672651291,0.005323236808180809,0.0402057021856308,0.6894925832748413,0.04258036985993385,0.19952812790870667
public_00005,0.997247040271759,0.0014523050049319863,0.0006661901134066284,0.00011397652997402474,0.0005181089509278536,2.341465005883947e-06
public_00006,9.342741122964071e-07,0.999996542930603,2.686985851596546e-07,9.61819566214217e-08,2.1331200059648836e-06,4.421524835152013e-08
public_00007,0.0018973886035382748,0.7069960236549377,0.22379791736602783,0.06511402130126953,0.0006232375162653625,0.0015714160399511456
public_00008,2.1920818493725847e-09,3.989272912008346e-08,7.823361514169846e-09,0.999997615814209,2.3462689568987116e-06,1.1669587962614969e-08
public_00009,1.3043493254372152e-06,1.7684860722511075e-06,0.999991774559021,1.4868042796933878e-07,5.0705168064268946e-08,4.993558377464069e-06
public_00010,3.4592431141788893e-09,7.363447451780303e-08,2.1821251472431413e-09,2.3984156882761454e-09,1.1552719891838592e-09,0.9999998807907104
public_00011,0.0025293752551078796,0.09910892695188522,0.015527540817856789,0.22851812839508057,0.00884599331766367,0.6454700827598572
public_00012,0.0711180716753006,0.027748188003897667,0.3611595332622528,0.001611391780897975,0.00029133199132047594,0.5380714535713196
public_00013,1.549668837697027e-08,2.1007477357670723e-07,0.9999997615814209,4.5604686693678786e-11,3.819963512174951e-10,1.247351555377918e-09
public_00014,8.337805411429144e-06,1.9866723960149102e-05,9.210551797877997e-05,0.9958764314651489,0.0018970849923789501,0.002106170170009136
public_00015,0.013638239353895187,0.025265762582421303,0.01779280975461006,0.021976666525006294,0.11474263668060303,0.8065838813781738
public_00016,0.8435412645339966,5.201547537581064e-05,0.00010443318024044856,6.2704680203751195e-06,0.020414112135767937,0.13588197529315948
public_00017,2.4952528931976303e-08,0.9999864101409912,6.974154871386418e-07,9.528917388479385e-08,1.0279827620252036e-05,2.5216993435606128e-06
public_00018,0.9070252180099487,0.0063485209830105305,0.0034659088123589754,0.013480228371918201,0.0037513328716158867,0.06592884659767151
public_00019,4.129194621782517e-06,4.0512470150133595e-05,6.091021714382805e-05,0.00012669042916968465,0.00022883467318024486,0.9995388984680176
public_00020,5.755807706009364e-06,0.0017903343541547656,0.007230370305478573,0.9855079054832458,0.0012317901710048318,0.004233812913298607
public_00021,1.5546862414339557e-05,1.7343496438115835e-05,0.9999663829803467,6.953755615768387e-08,2.4623787453492696e-07,4.136099107654445e-07
public_00022,0.0004018792824354023,0.06916119158267975,0.9169089198112488,0.005485811736434698,0.004995881579816341,0.0030463566072285175
public_00023,0.00043503401684574783,0.0002968079352285713,0.0073881689459085464,0.9695972204208374,0.0005573862581513822,0.021725496277213097
public_00024,0.7177295088768005,0.00013517160550691187,0.005002900492399931,0.002461753087118268,0.2746164798736572,5.413894177763723e-05
public_00025,7.110023716450087e-07,0.00015157782763708383,1.1497796776893665e-06,3.9648185179430584e-07,1.207785544465878e-06,0.9998449087142944
public_00026,0.00216584256850183,0.0013205796713009477,0.0117570785805583,7.97183092799969e-05,0.00018365232972428203,0.9844931364059448
public_00027,6.496888005358414e-08,5.9710720961447805e-05,0.0002529822231736034,0.9996843338012695,2.779404212560621e-06,2.0663574673562835e-07
public_00028,4.167292718193494e-05,0.00014129279588814825,0.0013557608472183347,0.009984483011066914,0.002150449901819229,0.9863263368606567
public_00029,0.001152093755081296,0.016484782099723816,0.0016058790497481823,0.00018360521062277257,0.4147542417049408,0.5658193230628967
public_00030,1.5695337424403988e-05,0.000865428417455405,8.63058721733978e-06,0.9989155530929565,7.73491137806559e-06,0.00018691248260438442
public_00031,1.680053537711501e-05,2.1730646039941348e-05,0.0006107875960879028,0.988610565662384,0.0006315001519396901,0.010108605958521366
public_00032,3.5757144360104576e-05,0.00578984385356307,0.0011775610037147999,8.38449050206691e-05,0.0032763711642473936,0.9896366000175476
public_00033,3.473627657513134e-05,0.00020092420163564384,0.9997624754905701,2.3492913214795408e-07,1.3844445447830367e-06,2.454000593843375e-07
public_00034,7.100814514160447e-07,3.332165942993015e-05,2.3489072191296145e-05,0.983991801738739,0.0008576992549933493,0.015092974528670311
public_00035,0.0021172957494854927,5.0945227485499345e-06,0.9975168704986572,2.8505414917390226e-08,4.713514954346465e-06,0.00035600693081505597
public_00036,0.0004183277487754822,0.002285177120938897,0.002367627341300249,0.8698464035987854,0.013093548826873302,0.11198897659778595
public_00037,1.4622436310673947e-06,0.00012092371616745368,0.00033223573700524867,0.9987179040908813,0.0001408288808306679,0.0006865422474220395
public_00038,2.7023859729524702e-05,0.00015752424951642752,0.0007800887688063085,6.571248377440497e-05,4.067951977049233e-06,0.9989656209945679
public_00039,0.0014949599280953407,0.07383845746517181,0.9107794761657715,0.0012842535506933928,0.000935938733164221,0.011666957288980484
public_00040,0.9854194521903992,0.0008331628632731736,0.012834862805902958,3.042064520286658e-07,8.427645661868155e-05,0.0008278898312710226
public_00041,4.7766413047156675e-09,6.436408170884533e-07,4.1486468944640364e-06,0.9999871253967285,7.960620678204577e-06,1.1478718420221412e-07
public_00042,8.66786020736754e-09,2.1999170485287323e-07,5.984279414406046e-05,2.1088349967612885e-05,0.9998937845230103,2.5060498956008814e-05
public_00043,1.7874010609375546e-06,5.387602504924871e-05,3.405282041057944e-05,7.903230289230123e-05,0.0003203926607966423,0.9995108842849731
public_00044,3.346023618178151e-07,1.7493304767413065e-05,9.839082792950649e-08,7.677105173797827e-09,1.2533618587440287e-07,0.9999819993972778
public_00045,0.938731849193573,0.0001137007784564048,0.00034912957926280797,0.0002769861021079123,0.0010738227283582091,0.05945456773042679
public_00046,0.00015767692821100354,0.00021832730271853507,0.015650495886802673,0.3392631411552429,0.057978469878435135,0.5867319107055664
public_00047,2.842521495960426e-10,7.2433814501948746e-09,1.0471872258221993e-08,0.9999997615814209,7.134121204899202e-08,1.581358617386286e-07
public_00048,5.827428140037227e-06,0.999984622001648,3.782926114581642e-07,3.6885100485051225e-07,5.789318038296187e-06,3.0241785680118483e-06
public_00049,2.00546310225036e-05,0.0010629569878801703,0.9989138841629028,1.3842828820997966e-06,1.3082762961857952e-06,3.530124956796499e-07
public_00050,2.1756195565103553e-06,0.00011171332153026015,0.9998860359191895,2.190516656952468e-09,4.597922043103608e-08,1.7128377294284292e-07
public_00051,0.0028430563397705555,0.9678710699081421,1.947191594808828e-05,2.704123289731797e-06,2.3283050722966436e-06,0.02926146425306797
public_00052,0.0007169062737375498,0.04340355843305588,0.01437472179532051,0.8676068782806396,0.001369322999380529,0.07252859324216843
public_00053,0.00035185381420888007,0.0008941350970417261,0.9974260926246643,0.0007676382083445787,1.366620108456118e-05,0.000546606897842139
public_00054,2.383280843787361e-05,2.4502542146365158e-05,0.9999312162399292,1.1257348887738772e-05,3.110120132987504e-06,6.160134944366291e-06
public_00055,0.0021774820052087307,0.005244397092610598,0.31054991483688354,0.017306173220276833,0.000978273106738925,0.663743793964386
public_00056,2.4044650217547314e-06,2.202624273195397e-06,3.541705882526003e-05,1.518713997938903e-05,0.9999101161956787,3.469210787443444e-05
public_00057,1.2396158126648515e-06,0.017127856612205505,5.076635716250166e-06,0.011085660196840763,0.0004455382004380226,0.9713346362113953
public_00058,3.0277284167823382e-05,0.023278282955288887,0.14245383441448212,0.0076866005547344685,0.10004546493291855,0.7265055775642395
public_00059,9.600785944030577e-08,0.9999910593032837,1.902734965142372e-07,1.2185715769774674e-09,1.1963359156652587e-06,7.4409781518625095e-06
public_00060,1.5262003216776066e-06,1.6176629287656397e-05,0.9999803304672241,1.2404919402797532e-07,5.92256753861875e-07,1.1337172054481925e-06
public_00061,1.803615923279267e-08,2.709940645218012e-06,2.358853407713468e-06,1.817100780954206e-07,8.571445846428105e-07,0.9999939203262329
public_00062,5.4037383961258456e-05,0.00792616792023182,0.9889302849769592,0.0012482486199587584,0.0017707889201119542,7.047158578643575e-05
public_00063,1.470576989959227e-05,0.0016763275489211082,7.129461300792173e-05,0.9980612397193909,0.00010424437641631812,7.222918065963313e-05
public_00064,0.0004201431293040514,0.998275876045227,0.001015881891362369,9.766034736458096e-07,0.00018762369290925562,9.936709830071777e-05
public_00065,0.0006927158101461828,5.135159153724089e-05,0.0027055381797254086,0.004800819791853428,0.9859407544136047,0.0058088041841983795
public_00066,0.011618083342909813,0.9883224368095398,1.8078422726830468e-05,1.429784060746897e-05,2.6846622859011404e-05,3.1568828262606985e-07
public_00067,1.8205592766662448e-07,0.9999985694885254,1.11285646653414e-06,4.144606879918911e-09,5.711858008794479e-08,1.181854045739783e-07
public_00068,0.030842114239931107,0.0005344320088624954,0.004748702049255371,0.9189043641090393,0.0032502899412065744,0.04171997681260109
public_00069,6.863037469884148e-06,6.855701144559134e-07,0.9999904632568359,2.7231212840206354e-09,1.7731498047623973e-08,2.005046098929597e-06
